PERMNO,SecInfoStartDt,SecInfoEndDt,SecurityBegDt,SecurityEndDt,SecurityHdrFlg,HdrCUSIP,HdrCUSIP9,CUSIP,CUSIP9,PrimaryExch,ConditionalType,ExchangeTier,TradingStatusFlg,SecurityNm,ShareClass,USIncFlg,IssuerType,SecurityType,SecuritySubType,ShareType,SecurityActiveFlg,DelActionType,DelStatusType,DelReasonType,DelPaymentType,Ticker,TradingSymbol,PERMCO,SICCD,NAICS,ICBIndustry,NASDCompno,NASDIssuno,IssuerNm,YYYYMMDD,DlyCalDt,DlyDelFlg,DlyPrc,DlyPrcFlg,DlyCap,DlyCapFlg,DlyPrevPrc,DlyPrevPrcFlg,DlyPrevDt,DlyPrevCap,DlyPrevCapFlg,DlyRet,DlyRetx,DlyRetI,DlyRetMissFlg,DlyRetDurFlg,DlyOrdDivAmt,DlyNonOrdDivAmt,DlyFacPrc,DlyDistRetFlg,DlyVol,DlyClose,DlyLow,DlyHigh,DlyBid,DlyAsk,DlyOpen,DlyNumTrd,DlyMMCnt,DlyPrcVol,ShrStartDt,ShrEndDt,ShrOut,ShrSource,ShrFacType,ShrAdrFlg,DisExDt,DisSeqNbr,DisOrdinaryFlg,DisType,DisFreqType,DisPaymentType,DisDetailType,DisTaxType,DisOrigCurType,DisDivAmt,DisFacPr,DisFacShr,DisDeclareDt,DisRecordDt,DisPayDt,DisPERMNO,DisPERMCO,vwretd,vwretx,ewretd,ewretx,sprtrn
10107,20080627,20221230,19860313,20221230,Y,59491810,594918104,59491810,594918104,Q,RW,S,A,MICROSOFT CORP; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,MSFT,MSFT,8048,7370,511210,TECH,60008001,10539,MICROSOFT CORP,20221201,20221201,N,254.6900,TR,"1,898,579,728.37",BP,255.1400,TR,20221130,"1,901,934,241.22",PB,-0.001764,-0.001764,0.000000,NA,D1,0.0000,0.0000,1.000000,NO,25994808.00,254.6900,250.9156,256.1200,254.6900,254.7200,253.8700,"356,099",61,"6,620,617,649.5",20221020,20221230,"7,454,473",OBS,NA,N,,,,,,,,,,,,,,,,,,0.000230,0.000035,0.002523,0.002347,-0.000868
10145,20221013,20221230,19251231,20221230,Y,43851610,438516106,43851610,438516106,Q,RW,S,A,HONEYWELL INTERNATIONAL INC; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,HON,HON,22168,3724,336412,INDL,60018933,25476,HONEYWELL INTERNATIONAL INC,20221201,20221201,N,217.3900,TR,"146,156,079.58",BP,219.5500,TR,20221130,"147,608,295.10",PB,-0.009838,-0.009838,0.000000,NA,D1,0.0000,0.0000,1.000000,NO,3967649.00,217.3900,216.3548,220.6200,217.3100,217.3200,220.2800,"65,144",48,"862,527,216.1",20221013,20221230,"672,322",NC,NA,N,,,,,,,,,,,,,,,,,,0.000230,0.000035,0.002523,0.002347,-0.000868
11308,20080627,20221230,19251231,20221230,Y,19121610,191216100,19121610,191216100,N,RW,N/A,A,COCA COLA CO; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,KO,KO,20468,2086,312111,CONSTAP,0,0,COCA COLA CO,20221201,20221201,N,63.7900,TR,"275,860,684.27",BP,63.6100,TR,20221130,"275,082,271.93",PB,0.002830,0.002830,0.000000,NA,D1,0.0000,0.0000,1.000000,NO,12001356.00,63.7900,63.4300,64.1100,63.8000,63.8100,63.6100,,,"765,566,499.2",20221130,20221229,"4,324,513",OBS,NA,N,,,,,,,,,,,,,,,,,,0.000230,0.000035,0.002523,0.002347,-0.000868
12490,20211203,20221230,19251231,20221230,Y,45920010,459200101,45920010,459200101,N,RW,N/A,A,INTERNATIONAL BUSINESS MACHS COR; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,IBM,IBM,20990,3571,334111,TECH,0,0,INTERNATIONAL BUSINESS MACHS COR,20221201,20221201,N,149.1600,TR,"134,859,434.16",BP,148.9000,TR,20221130,"134,624,361.40",PB,0.001746,0.001746,0.000000,NA,D1,0.0000,0.0000,1.000000,NO,4495924.00,149.1600,147.3400,150.0100,149.1800,149.1900,149.9800,,,"670,612,023.8",20221130,20221229,"904,126",OBS,NA,N,,,,,,,,,,,,,,,,,,0.000230,0.000035,0.002523,0.002347,-0.000868
14008,20190912,20221230,19830617,20221230,Y,03116210,031162100,03116210,031162100,Q,RW,S,A,AMGEN INC; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,AMGN,AMGN,216,2830,325414,HEALTH,60000215,298,AMGEN INC,20221201,20221201,N,285.9400,TR,"152,571,579.26",BP,286.4000,TR,20221130,"152,817,025.60",PB,-0.001606,-0.001606,0.000000,NA,D1,0.0000,0.0000,1.000000,NO,2879856.00,285.9400,279.8800,288.0900,285.7800,285.9700,288.0000,"60,541",59,"823,466,024.6",20221031,20221230,"533,579",OBS,NA,N,,,,,,,,,,,,,,,,,,0.000230,0.000035,0.002523,0.002347,-0.000868
14541,20210401,20221230,19251231,20221230,Y,16676410,166764100,16676410,166764100,N,RW,N/A,A,CHEVRON CORP NEW; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,CVX,CVX,20440,5541,447190,ENERGY,0,0,CHEVRON CORP NEW,20221201,20221201,N,182.4900,TR,"352,869,781.11",BP,183.3100,TR,20221130,"354,455,365.09",PB,-0.004473,-0.004473,0.000000,NA,D1,0.0000,0.0000,1.000000,NO,5217378.00,182.4900,181.4400,184.5500,182.5000,182.5200,184.2600,,,"952,119,311.2",20221130,20221229,"1,933,639",OBS,NA,N,,,,,,,,,,,,,,,,,,0.000230,0.000035,0.002523,0.002347,-0.000868
14593,20171228,20221230,19801212,20221230,Y,03783310,037833100,03783310,037833100,Q,RW,S,A,APPLE INC; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,AAPL,AAPL,7,3571,334220,TECH,60000006,8,APPLE INC,20221201,20221201,N,148.3100,TR,"2,359,332,980.58",BP,148.0300,TR,20221130,"2,354,878,707.54",PB,0.001892,0.001892,0.000000,NA,D1,0.0000,0.0000,1.000000,NO,71177750.00,148.3100,146.6100,149.1300,148.3300,148.3500,148.2100,"529,241",60,"10,556,372,102.5",20221014,20221230,"15,908,118",OBS,NA,N,,,,,,,,,,,,,,,,,,0.000230,0.000035,0.002523,0.002347,-0.000868
18163,20210414,20221230,19290812,20221230,Y,74271810,742718109,74271810,742718109,N,RW,N/A,A,PROCTER & GAMBLE CO; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,PG,PG,21446,2844,325620,CONSTAP,0,0,PROCTER & GAMBLE CO,20221201,20221201,N,149.2500,TR,"353,677,277.25",BP,149.1600,TR,20221130,"353,464,004.52",PB,0.000603,0.000603,0.000000,NA,D1,0.0000,0.0000,1.000000,NO,6927461.00,149.2500,148.5700,150.3600,149.3300,149.3400,149.5300,,,"1,033,923,554.3",20221130,20221229,"2,369,697",OBS,NA,N,,,,,,,,,,,,,,,,,,0.000230,0.000035,0.002523,0.002347,-0.000868
18428,20191223,20221230,20190402,20221230,Y,26055710,260557103,26055710,260557103,N,RW,N/A,A,DOW INC; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,DOW,DOW,56668,2821,325211,BASMAT,0,0,DOW INC,20221201,20221201,N,51.0700,TR,"35,940,972.13",BP,50.9700,TR,20221130,"35,870,596.23",PB,0.001962,0.001962,0.000000,NA,D1,0.0000,0.0000,1.000000,NO,4757348.00,51.0700,50.8000,51.5103,51.1000,51.1200,51.2500,,,"242,957,762.4",20221130,20221229,"703,759",OBS,NA,N,,,,,,,,,,,,,,,,,,0.000230,0.000035,0.002523,0.002347,-0.000868
18542,20170126,20221230,19291202,20221230,Y,14912310,149123101,14912310,149123101,N,RW,N/A,A,CATERPILLAR INC; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,CAT,CAT,20408,3531,333120,INDL,0,0,CATERPILLAR INC,20221201,20221201,N,235.6900,TR,"122,655,197.21",BP,236.4100,TR,20221130,"123,029,891.69",PB,-0.003046,-0.003046,0.000000,NA,D1,0.0000,0.0000,1.000000,NO,2504686.00,235.6900,231.9400,237.0000,235.7500,235.7600,236.9000,,,"590,329,443.3",20221130,20221229,"520,409",OBS,NA,N,,,,,,,,,,,,,,,,,,0.000230,0.000035,0.002523,0.002347,-0.000868
