TICKER,COMPANY_NAME,COMPANY_NAME_SHORT
UNH,UnitedHealth Group Incorporated,United Health
GS,Goldman Sachs Group Inc.,Goldman Sachs
HD,Home Depot Inc.,Home Depot
MSFT,Microsoft Corporation,Microsoft
MCD,McDonald's Corporation,McDonald's
AMGN,Amgen Inc.,Amgen
CAT,Caterpillar Inc.,Caterpillar
V,Visa Inc. Class A,Visa
BA,Boeing Company,Boeing
HON,Honeywell International Inc.,Honeywell
TRV,Travelers Companies Inc.,Travelers
CRM,Salesforce Inc.,Salesforce
AXP,American Express Company,American Express
CVX,Chevron Corporation,Chevron
JNJ,Johnson & Johnson,Johnson & Johnson
AAPL,Apple Inc.,Apple
WMT,Walmart Inc.,Walmart
PG,Procter & Gamble Company,Procter & Gamble
JPM,JPMorgan Chase & Co,JPMorgan Chase
IBM,International Business Machines Corporation,IBM
NKE,NIKE Inc. Class B,Nike
MMM,3M Company,3M
DIS,Walt Disney Company,Disney
MRK,Merck & Co. Inc.,Merck
KO,Coca-Cola Company,Coca-Cola
DOW,Dow Inc.,Dow
CSCO,Cisco Systems Inc.,Cisco
VZ,Verizon Communications Inc.,Verizon
WBA,Walgreens Boots Alliance Inc.,Walgreens Boots Alliance
INTC,Intel Corporation,Intel
