ticker,name,first_year,last_year
A,Agilent Technologies Inc,2004,2023
AA,Alcoa Corp,2004,2016
AAL,American Airlines Group Inc,2016,2023
AAP,Advance Auto Parts Inc,2016,2023
AAPL,Apple Inc,2004,2023
ABBV,AbbVie Inc,2014,2023
ABC,AmerisourceBergen Corp,2004,2023
ABKFQ,Ambac Financial Group Inc/Old,2004,2008
ABMD,ABIOMED Inc,2019,2022
ABT,Abbott Laboratories,2004,2023
ACAS,ACAS LLC,2008,2009
ACGL,Arch Capital Group Ltd,2023,2023
ACN,Accenture PLC,2012,2023
ADBE,Adobe Inc,2004,2023
ADI,Analog Devices Inc,2004,2023
ADM,Archer-Daniels-Midland Co,2004,2023
ADP,Automatic Data Processing Inc,2004,2023
ADSK,Autodesk Inc,2004,2023
AEE,Ameren Corp,2004,2023
AEP,American Electric Power Co Inc,2004,2023
AES,AES Corp/The,2004,2023
AET,Aetna Inc,2004,2018
AFL,Aflac Inc,2004,2023
AGN,Allergan Ltd/Ireland,2004,2020
AIG,American International Group Inc,2004,2023
AIV,Apartment Investment and Management Co,2004,2020
AIZ,Assurant Inc,2008,2023
AJG,Arthur J Gallagher & Co,2017,2023
AKAM,Akamai Technologies Inc,2008,2023
AKS,Cleveland-Cliffs Steel Holding Corp,2009,2011
ALB,Albemarle Corp,2017,2023
ALGN,Align Technology Inc,2018,2023
ALK,Alaska Air Group Inc,2017,2023
ALL,Allstate Corp/The,2004,2023
ALLE,Allegion plc,2014,2023
ALXN,Alexion Pharmaceuticals Inc/MA,2013,2021
AMAT,Applied Materials Inc,2004,2023
AMCC,Applied Micro Circuits Corp,2004,2006
AMCR,Amcor PLC,2020,2023
AMD,Advanced Micro Devices Inc,2004,2023
AME,AMETEK Inc,2014,2023
AMG,Affiliated Managers Group Inc,2015,2019
AMGN,Amgen Inc,2004,2023
AMP,Ameriprise Financial Inc,2006,2023
AMT,American Tower Corp,2008,2023
AMZN,Amazon.com Inc,2006,2023
AN,AutoNation Inc,2004,2017
ANDV,Andeavor,2008,2018
ANDW,CommScope Technologies LLC,2004,2006
ANET,Arista Networks Inc,2019,2023
ANF,Abercrombie & Fitch Co,2008,2013
ANRZQ,Alpha Natural Resources Inc,2012,2012
ANSS,ANSYS Inc,2018,2023
AON,Aon PLC,2004,2023
AOS,A O Smith Corp,2018,2023
APA,APA Corp,2004,2023
APC,Anadarko Petroleum Corp,2004,2019
APD,Air Products and Chemicals Inc,2004,2023
APH,Amphenol Corp,2009,2023
APOL,Apollo Education Group Inc,2004,2013
APTV,Aptiv PLC,2013,2023
ARE,Alexandria Real Estate Equities Inc,2018,2023
ARG,Airgas Inc,2010,2016
ASH,Ashland Inc,2004,2008
ATGE,Adtalem Global Education Inc,2010,2012
ATI,ATI Inc,2004,2015
ATO,Atmos Energy Corp,2020,2023
ATVI,Activision Blizzard Inc,2016,2023
AVB,AvalonBay Communities Inc,2008,2023
AVGO,Broadcom Inc,2015,2023
AVP,Avon Products Inc,2004,2015
AVY,Avery Dennison Corp,2004,2023
AW,Allied Waste Industries LLC,2004,2008
AWE,New Cingular Wireless Services Inc,2004,2004
AWK,American Water Works Co Inc,2017,2023
AXP,American Express Co,2004,2023
AYE,Allegheny Energy Inc,2004,2011
AYI,Acuity Brands Inc,2017,2018
AZO,AutoZone Inc,2004,2023
BA,Boeing Co/The,2004,2023
BAC,Bank of America Corp,2004,2023
BALL,Ball Corp,2004,2023
BAX,Baxter International Inc,2004,2023
BBBY,Bed Bath & Beyond Inc,2004,2017
BBWI,Bath & Body Works Inc,2004,2023
BBY,Best Buy Co Inc,2004,2023
BC,Brunswick Corp/DE,2004,2008
BCR,CR Bard Inc,2004,2018
BDK,Black & Decker Corp/The,2004,2010
BDX,Becton Dickinson and Co,2004,2023
BEN,Franklin Resources Inc,2004,2023
BF,Brown-Forman Corp,2004,2023
BFH,Bread Financial Holdings Inc,2014,2020
BHF,Brighthouse Financial Inc,2018,2019
BHI,Baker Hughes Holdings LLC,2004,2017
BIG,Big Lots Inc,2004,2013
BIIB,Biogen Inc,2004,2023
BIO,Bio-Rad Laboratories Inc,2021,2023
BK,Bank of New York Mellon Corp/The,2004,2023
BKNG,Booking Holdings Inc,2010,2023
BKR,Baker Hughes Co,2018,2023
BLK,BlackRock Inc,2012,2023
BLS,BellSouth LLC,2004,2007
BMC,BMC Software Inc,2004,2013
BMS,Amcor Flexibles North America Inc,2004,2014
BMY,Bristol-Myers Squibb Co,2004,2023
BNI,Burlington Northern Santa Fe LLC,2004,2010
BOL,Bausch & Lomb Inc,2004,2007
BR,Broadridge Financial Solutions Inc,2019,2023
BRCM,Broadcom Corp,2004,2016
BRK,Berkshire Hathaway Inc,2011,2023
BRL,Barr Pharmaceuticals Inc,2007,2008
BRO,Brown & Brown Inc,2022,2023
BSX,Boston Scientific Corp,2004,2023
BTUUQ,Peabody Energy Corp,2007,2014
BWA,BorgWarner Inc,2012,2023
BXLT,Baxalta Inc,2016,2016
BXP,Boston Properties Inc,2007,2023
C,Citigroup Inc,2004,2023
CA,CA Inc,2004,2018
CAG,Conagra Brands Inc,2004,2023
CAH,Cardinal Health Inc,2004,2023
CAM,Cameron International Corp,2009,2016
CAR,Avis Budget Group Inc,2004,2006
CARR,Carrier Global Corp,2021,2023
CAT,Caterpillar Inc,2004,2023
CB,Chubb Ltd,2004,2023
